year,meeting_number,speaker,speech,party
2004,9,Tom Behnke (KF),"Da den konservative ordfører, hr. Jakob Axel Nielsen, ikke kan være til stede i dag, har jeg lovet som standin at sige følgende: Vi kan alle blive syge og være nødt til at blive hjemme fra arbejde, men det er ikke godt, hvis vi er syge alt for ofte eller i alt for lang tid. Det er ikke godt for den enkelte, og det er skidt for samfundsøkonomien og for virksomhederne. Med forslaget her tages en række initiativer, der samler op og sikrer, at der tages hånd om sygefraværet. Det er vigtigt, at så mange som muligt fastholder så stor en tilknytning til arbejdsmarkedet som muligt, og derfor er det godt, at kommunerne fremover i et tæt samarbejde med lægen og virksomheden gør, hvad der er muligt, for at den syge bliver rask og igen kan komme på arbejde eller i det mindste i en eller anden grad bevarer tilknytningen til jobbet. Vi ser forslaget som et godt initiativ og ser frem til, at sygefraværet med bl.a. hjælp fra det her forslag nedbringes i fremtiden.",KF
2013,88,Mette Bock (LA),"Tak for det. Det har været en lang diskussion efterhånden, og det tager jo sådan set afsæt i en meget fundamental uenighed. Skal de europæiske økonomier integreres endnu dybere, eller skal de ikke integreres endnu dybere? Og det ikke nogen hemmelighed, at vi i Liberal Alliance ikke synes, at Danmark skal være med i bankunionen. Vi opfatter bankunionen som en udløber af eurosamarbejdet, som er bygget på et forkert grundlag, og derfor tager vi kraftig afstand fra, at Danmark skal deltage. Jeg synes faktisk, når vi ser bort fra alle de tekniske ting, som vi har været inde over, at det er interessant, at finske Björn Wahlroos, som sidder for bordenden i bestyrelsen hos både Nordea og forsikringskoncernen Sampo, meget kraftigt understøtter, at Sverige holder sig uden for en europæisk bankunion. Han kalder det absurd, at bankerne skulle hæfte kollektivt i EU, og siger, at ideen om, at en god banks garantier vil løfte dårlige banker, lige så godt kan ende i det modsatte. Han siger, og jeg citerer: Bankunionen viser bare endnu tydeligere, at en stor del af de europæiske banker befinder sig på randen af en konkurs. Vi har også danske eksperter, som udtaler sig på det her område, f.eks. Jesper Rangvid, som er professor i finansiering ved Copenhagen Business School. Han siger: Enten er Danmark helt med i bankunionen, eller også er vi ikke med. Og hvis Danmark siger ja til at gå med i EU's bankunion, vil landet blive omfattet af de samme forpligtelser som eurolandene, selv om Danmark fortsat formelt står uden for eurosamarbejdet. Det gælder også de økonomiske byrder, når det handler om at sanere og redde den gældsramte finanssektor i Sydeuropa og i Irland. Jeg synes, det er tankevækkende udtalelser, både fra Sverige og fra vores egen danske professor Jesper Rangvid. Vi ser faktisk bankunionen og den stilling, man skal tage i forhold til det, både som en udløber af eurosamarbejdet, men også som noget, vi bliver nødt til at hægte op i forhold til det nationale kompromis fra 1992. Af samme grund skal jeg på vegne af Liberal Alliance fremsætte følgende: Forslag til vedtagelse »Folketinget anerkender, at oprettelsen af en Bankunion er et produkt af eurosamarbejdet. På den baggrund noterer Folketinget, at Det Nationale Kompromis fra 1992, hvoraf det fremgår, at »Danmark holder sig uden for den fælles mønt og de krav til den økonomiske politik, der er knyttet til 3. fase af Den Økonomiske Monetære Union«, også bør anvendes på en fælles Bankunion, hvorfor en dansk indtræden forudsætter afholdelsen af en folkeafstemning. Folketinget noterer endvidere, at der i forlængelse af oprettelsen af en Bankunion også etableres en redningsfond, hvor danske banker hæfter solidarisk med nødlidende banker i euroområdet, på cirka 412 mia. kr. Heraf hæfter danske banker med 8 mia. kr., som danske bankkunder risikerer at skulle finansiere.« (Forslag til vedtagelse nr. V 41). 66 (F 29)",LA
2018,21,Hans Andersen (V),"Tak, og tak for spørgsmålet fra ordføreren. Jeg tror, at ordføreren også lige skal gøre seere og andre opmærksomme på, at det jo ikke er Folketinget, der fastsætter den endelige godtgørelse i sådan nogle sager. Det er domstolene. I dag sender vi et kraftigt signal om, at vi ønsker at sætte godtgørelsen op, men det er domstolene, der i sidste ende afgør sådan nogle sager, og der kan godtgørelsen i den enkelte sag jo godt blive højere end de beløb, der er nævnt i dag. Det, vi foreslår her, er så en stigning på en tredjedel i forhold til det nuværende niveau, og det synes jeg sådan set er et skridt i den rigtige retning. Tak.",V
2003,25,Charlotte Dyremose (KF),"Jeg kan heller ikke undlade at interessere mig en lille smule for, hvad Socialdemokratiet vil, for en af de ting, jeg hører Socialdemokratiet tale om, er jo de danske arbejdspladser, som man gerne vil sikre. Men nu når vi igen frem til, at der skal gøres noget konkret, og så vil man alligevel ikke rigtig noget. Skal vi forstå det sådan, at Socialdemokratiet sætter sig med hænderne i skødet frem for i samarbejde med regeringen bl.a. at sikre, at noget af grænsehandelen kommer tilbage til Danmark, så danskere kan få arbejde med at sælge varerne frem for tyskere? Det er ikke den måde, man kan løse alle menneskers arbejdsløshedsproblem på, men det er et lille skridt i den rigtige retning. (Kort bemærkning).",KF
2006,41,Magnus Heunicke,Det hverken kan eller vil jeg tage del i. Fjerde næstformand,S
2008,93,Ole Vagn Christensen (S),"Når jeg bad om ordet, var det jo sådan set på baggrund af den udtalelse, som hr. Hans Kristian Skibby kom med, nemlig at vi ikke kan gøre noget ved det ude i yderområderne, og at vi jo må affinde os med, at yderområderne afvikles. Jeg vil gerne sige, at hårene begyndte at rejse sig på mig, og så sagde jeg til mig selv: Kan det virkelig være en holdning hos Dansk Folkeparti, at man ikke mener, at man har ansvar over for yderområderne? Og jeg kan trække et par eksempler frem. Vi har fået en ny domstolsreform. Her blev det lavet sådan, at vi skulle have en afdelingsret i Thisted, men det betyder nu, at domstolen i Holstebro trækker hele mandskabet og hele ba- (F 41 m.fl.) 7499 duljen til Holstebro og sætter folk til at rejse meget, meget langt. Det er en undergravning af et lokalområde, og jeg håber, at hr. Hans Kristian Skibby er enig med mig i, at sådan kan man ikke behandle et område.",S
2016,103,(Leif Mikkelsen),"Tak. Der er en kort bemærkning fra hr. Søren Egge Rasmussen, Enhedslisten. Værsgo.",LA
2020,42,Lars Boje Mathiesen (NB),"Det vil jeg hjertens gerne. Jeg tror ikke, der er noget, vi hellere vil. Jo, det skulle lige være at sørge for, at vi ikke har den samme islamiske indvandring, som vi har. Men når vi ikke har stillet ændringsforslag her, har det jo simpelt hen den praktiske og naturlige årsag, at vi har fire mandater, og at vi ikke har kunnet nå at fremstille økonomiske ændringsforslag med hele vores økonomiske politik til den her finanslov. Første næstformand",NB
2019,37,(Karina Adsbøl (DF),"Jeg giver gerne lidt). Jeg er jo ikke i tvivl om Dansk Folkepartis engagement i forhold til ældreområdet – det er jo et engagement, vi i Enhedslisten deler med Dansk Folkeparti – men når nu ordføreren remser alle de her tidligere tiltag op, der er blevet taget, og bl.a. også nævner klippekortsordningen, som vi også støtter, og som jo i sin tid blev indført på Enhedslistens foranledning, synes jeg, at jeg også vil nævne, hvorfor kommunerne har skåret i klippekortsordningen. Det er jo, 28 (F 16) fordi der har været en generel underfinansiering af kommunerne og den kommunale velfærd. Det er jo ikke, fordi der ude i kommunerne har siddet onde politikere og sagt, at det her vil de gerne skære væk. Det er, fordi der har været en underfinansiering igennem adskillige år, og det er sket bl.a. gennem økonomiaftaler og finanslov, som Dansk Folkeparti også har lagt stemmer til. Der har været en underfinansiering, og så har der efterfølgende været nogle puljer, som kommunerne så har brugt til at lappe de steder, hvor der ellers har været besparelser. Så derfor skal jeg bare høre, om fru Karina Adsbøl ikke kan bekræfte, at den kommuneaftale, der er lavet i år, jo samlet set giver et langt større løft til den kommunale velfærd, end de kommuneaftaler, der blev indgået i tidligere år, har givet? Første næstformand",DF
2020,92,Forhandling Formanden (Henrik Dam Kristensen),"Der er ikke stillet ændringsforslag. Ønsker nogen at udtale sig? Da det ikke er tilfældet, er forhandlingen sluttet. Jeg foreslår, at lovforslaget går direkte til tredje behandling uden fornyet udvalgsbehandling. Hvis ingen gør indsigelse, betragter jeg det som vedtaget. Det er vedtaget. Det næste punkt på dagsordenen er: 14) 2. behandling af lovforslag nr. L 154: Forslag til lov om ændring af straffeloven. (Strafskærpelse for forbrydelser med baggrund i offerets handicap). Af justitsministeren (Nick Hækkerup). (Fremsættelse.2021. 1. behandling.2021. Betænkning.2021).",S
2022,63,Lotte Rod (RV),"Får den her undersøgelse så regeringen til at gøre noget nyt, andet end det, vi allerede har aftalt, og som ministeren nævnte før?",RV
2019,32,Formanden (Henrik Dam Kristensen),"Der er ikke mere at foretage i dette møde. Folketingets næste møde afholdes i morgen,,. Jeg henviser til den dagsorden, der fremgår af Folketings hjemmeside. Mødet er hævet. ().",S
2020,27,Hans Andersen (V),"Fordi det er det, beskæftigelsesministeren har svaret på de spørgsmål, jeg har stillet. Hvis man så tror på, at mange mennesker i øvrigt vil finde retten til tidlig pension attraktiv og mere attraktiv, end regeringen har vurderet, ja, så bliver den her ordning jo næsten dobbelt så dyr. Og historien skræmmer jo – for det gik fra, at efterlønnen blev vurderet til at ville blive benyttet af 17.000, til at omkring 180.000 faktisk benyttede sig af efterlønsordningen. Det var altså meget dyrt, og selv Socialdemokratiet, tror jeg, måtte jo inderst inde indrømme, at det nok ikke holdt på sigt. Første næstformand",V
2017,105,Henrik Dahl (LA),"Altså, situationen i Tyrkiet og EUNATO-Tyrkietrelationen forandrer sig hele tiden, og derfor er det jo ikke så mærkeligt, at den danske position også flytter sig en lille smule over tid. Fjerde næstformand",LA
2001,81,Bent Bøgsted (DF),"Ja, det skuffer mig egentlig, at hr. Jan Petersen har den opfattelse af min holdning til arbejderne, til deputationerne, der har været inde. Det er lige før jeg fortryder, at jeg støttede Socialdemokratiet i deres ønske om, at der skulle så mange deputationer ind. Det er lige før jeg fortryder, at jeg støttede jer i, at der skulle være et samråd, hvis hr. Jan Petersen mener, at min opfattelse af den danske arbejder er så elendig, som hr. Jan Petersen påstår. Det er faktisk en skuffelse, at hr. Jan Petersen siger det. Men det tyder bare på, at hr. Jan Petersen vil have, at Dansk Folkeparti skal acceptere Socialdemokratiets synspunkter, men Socialdemokratiet vil overhovedet ikke høre på Dansk Folkepartis synspunkter, og det er selvfølgelig ikke noget, der forbedrer forholdet fremover i Ar-. bejdsmarkedsudvalget, når vi skal diskutere arbejdsmarkedspolitik. Men det er selvfølgelig det, hr. Jan Petersen ønsker, så det må vi tage til efterretning; men så er der jo ikke behov for at besvare flere spørgsmål, vil jeg sige til hr. Jan Petersen. (Kort bemærkning).",DF
2011,33,Kristian Jensen (V),"Hvilke konkrete tiltag vil regeringen igangsætte for at nedbringe det administrative besvær for virksomhederne, som statsministeren lovede i sin nytårstale, og vil VKregeringens forslag om et 3års-stop for nye regler for mindre virksomheder være en del af regeringens program? (Spm. nr. S 1435). 13) Til erhvervs- og vækstministeren af:",V
2021,26,Mogens Jensen (S),"Jeg vil jo generelt sige om hele vores engagement og involvering i Afghanistan, at det er rigtigt, at det er der mange der har talt ned, og med det resultat, vi har nu, sagt, at det var en spildt indsats, og det synspunkt deler Socialdemokratiet ikke. Vi mener, at det var helt rigtigt at gå ind i Afghanistan for at stoppe terror og for at stoppe udbredelsen af en ideologi og nogle udemokratiske kræfter og overgreb på befolkningen, og vi mener også, at den indsats har vist resultater i form af de forbedringer, der trods alt er sket for civilbefolkningen i den periode, vi har været der. Men det er jo rigtigt, at det, vi ser her som slutresultatet, kan ingen af os være tilfredse med, men jeg har det udgangspunkt, at i forhold til hvilket billede der blev tegnet af situationen i Afghanistan, så var den her til sidst også tegnet op som meget kritisk, usikker og ustabil i det billede, vi fik præsenteret her i Folketinget. Første næstformand",S
2011,91,Flemming Møller Mortensen (S),"Tak for det. Der er det i det, at sådan som formuleringen er lavet, synes vi fra socialdemokratisk side, at det giver en for stram binding. Vi synes, at det er gunstigt og forhåbentlig med en meget stor bredde, at vi i Kulturudvalgets regi kan lave en beretning, som også måtte vende flere aspekter end det, der er vendt i beslutningsforslaget her fra Dansk Folkeparti, og derefter kan levere en beretning til kulturministeren med den tyngde, der måtte være, at et forhåbentlig meget bredt flertal i Kulturudvalget bakker beretningen op. Tredje næstformand",S
